lambda=0.8 (izx),lambda=0.2 (izx),lambda=0.8 (izy),lambda=0.2 (izy)
7.566723346,6.591550625,5.452683328,3.317599126
7.765640293,6.569505317,5.516681108,3.317511599
8.305576409,6.545530994,4.049042344,3.317472296
8.832970579,6.504379223,4.980534997,3.317679731
8.194706263,6.506852429,5.672830886,3.317818601
7.291653605,6.474202147,4.934573494,3.317750719
9.171050352,6.456478403,5.049742373,3.317479609
8.017643814,6.539536769,4.460318437,3.317726626
8.877936429,6.51538276,5.164115813,3.31775655
8.568601667,6.505452676,5.245539608,3.317922456
8.204618207,6.516261941,5.477420719,3.317605124
9.587978262,6.545063112,7.004050237,3.317437581
6.329499361,6.51143035,4.647136943,3.317571944
9.104118925,6.49814073,4.82630937,3.317452185
7.451384114,6.480437313,4.679131431,3.317629098
8.41181113,6.456577832,3.756687901,3.317900629
10.67115262,6.569599894,3.222879042,3.317441062
8.75320192,6.513947314,5.700550268,3.317773582
7.503556611,6.430781585,4.465679594,3.317857643
8.617329792,6.398933658,3.406518625,3.317953407
9.588565961,6.442696367,2.975959074,3.317713149
