VAE-izx,CVAE-izx,lambda=0.8 (izx),lambda=0.2 (izx),VAE-izy,CVAE-izy,lambda=0.8 (izy),lambda=0.2 (izy)
9.256860933,6.863442397,12.80004483,12.81017206,1.793461558,2.883567711,3.324158349,3.305581198
9.240186496,6.868558187,12.50198084,12.5193551,1.788124462,2.885947541,3.311213575,3.306820258
9.263641553,6.88053956,11.99703732,11.99865365,1.79459353,2.888693109,3.314318634,3.309645624
9.276026349,6.886344054,12.10181694,12.09287547,1.804251975,2.889602441,3.30132826,3.308487184
9.274088216,6.892240858,11.63182501,11.64007741,1.808171745,2.889367743,3.328147825,3.310247931
9.297125735,6.910981357,11.70633142,11.71008194,1.809578685,2.890641586,3.301098775,3.309754795
9.291815305,6.90022718,11.79034196,11.78697073,1.807755421,2.894194927,3.303982464,3.30859956
9.298347154,6.91656369,11.67072854,11.67687135,1.810885869,2.891909879,3.30887131,3.308017973
9.321120262,6.926848724,11.35920517,11.35058271,1.822580914,2.896323708,3.282559736,3.311478684
9.325096512,6.933847136,11.35387383,11.36317169,1.828140257,2.89705842,3.31588629,3.310741304
9.323572974,6.944964747,11.41895383,11.41347907,1.820272025,2.897313958,3.306392468,3.309170245
9.319333453,6.923634152,11.16973328,11.17085871,1.815379341,2.898566437,3.318097,3.310414733
9.308617558,6.944099011,11.04842749,11.04366935,1.813334109,2.898601372,3.305429027,3.311049647
9.34507863,6.938762205,11.21204958,11.20176994,1.8306337,2.899747128,3.323885774,3.309759598
9.33736629,6.963951957,10.88881256,10.89257767,1.83168368,2.90093313,3.293664536,3.31162593
9.354230237,6.963034301,10.99651282,11.01246669,1.838083935,2.90273716,3.318479798,3.310263966
9.366701941,6.959452536,10.54384762,10.53923919,1.84031351,2.904992137,3.334905901,3.312136295
9.362949381,6.984054744,10.71902091,10.73095344,1.841520864,2.905410662,3.293328057,3.311062392
9.37075942,6.987283959,10.7968,10.80530758,1.846587636,2.906747084,3.314951178,3.311015846
9.386951842,6.980860584,10.48761696,10.48579812,1.847075262,2.904998869,3.308966816,3.311772562
9.409457645,6.995909255,10.52238308,10.52327684,1.855578812,2.90746271,3.296786072,3.311586323
9.395205321,7.003935351,10.30177836,10.30974802,1.854719172,2.909680876,3.318627345,3.312129875
9.405122132,7.014343867,10.27461483,10.27686538,1.847507962,2.909383376,3.319035276,3.312507316
9.41585743,7.011815951,10.10816252,10.10796195,1.850167126,2.908693029,3.316901872,3.312977006
9.408404222,7.021985734,10.09357674,10.07284538,1.852346542,2.911958404,3.294678609,3.312145237
9.423480849,7.019581521,10.01832226,10.02133411,1.859904441,2.911780994,3.305242076,3.312524132
9.378646531,7.016303091,10.004936,9.994565678,1.86213222,2.914226092,3.304251669,3.312252258
9.425403242,7.029994473,10.16595182,10.1501899,1.87162374,2.913615828,3.286309414,3.31199131
9.451298237,7.048824656,9.843643986,9.840911774,1.872644106,2.913647705,3.290754851,3.312707981
9.4274825,7.06146925,9.859531153,9.869451527,1.872127492,2.914871522,3.311831801,3.312928655
9.445321732,7.052394514,9.795566473,9.787597774,1.874379002,2.91570839,3.326032607,3.313650769
9.460405822,7.062018011,9.793105915,9.792812093,1.877365432,2.916272875,3.318738411,3.313164865
9.460475564,7.0510113,9.633717094,9.628675674,1.87987708,2.91698257,3.294172974,3.313211784
9.472415051,7.049585304,9.703312623,9.710287744,1.883403285,2.920211883,3.310312223,3.313064332
9.497054892,7.076576612,9.687109165,9.687170192,1.890346309,2.919125973,3.316306647,3.31295243
9.502302589,7.069232969,9.465961668,9.456995896,1.891637994,2.917979295,3.330033113,3.313937677
9.469750853,7.065408809,9.585316709,9.584502756,1.885570539,2.922186819,3.328744663,3.312181072
9.475571718,7.0817379,9.468377884,9.467090757,1.887035779,2.921262751,3.312011291,3.313208237
9.464157987,7.090169713,9.378065605,9.384269347,1.882976722,2.92040182,3.300804669,3.313239688
9.483369513,7.096451051,9.521922054,9.525743698,1.89235151,2.923727181,3.293862015,3.312706513
9.514939885,7.108455379,9.3275354,9.321380992,1.900163536,2.922474961,3.310018577,3.314184892
9.505606041,7.12316005,9.20157888,9.21480276,1.892777246,2.923797677,3.300018897,3.313474163
9.523467398,7.105825167,9.121972318,9.101561846,1.893930641,2.924238265,3.320900887,3.314723427
9.501420708,7.118827362,9.018262888,9.01698969,1.894930853,2.925626166,3.335513958,3.314721786
9.541943264,7.114783623,9.296438073,9.306471284,1.90385728,2.925480385,3.309946199,3.313409944
9.515493665,7.131900566,8.997477683,8.998207655,1.905846254,2.925796231,3.324782914,3.314763889
9.532400227,7.126235652,8.999142323,8.999296061,1.905880883,2.927072545,3.319918964,3.314091549
9.540339117,7.131564109,8.886559597,8.890469769,1.905359056,2.926832669,3.307178277,3.315030094
9.488138828,7.134988551,8.955906477,8.944868142,1.900910468,2.928272265,3.318790914,3.314564908
9.554199243,7.137305698,9.042192886,9.031331389,1.913159907,2.929187341,3.320091899,3.31398703
9.558547864,7.126668699,9.01839609,9.020614974,1.913812424,2.927625808,3.31764969,3.31446866
9.563063965,7.152333448,8.797153792,8.811921501,1.915111966,2.930341284,3.312007722,3.314401438
